Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","27,127.50","27,193.85","27,086.25","27,172.90","108.45","0.40","444.22","2,095.53","29,259.50","18,384.05","5.61","2.96"
"ADANITRANS","234.00","241.80","234.00","239.85","8.75","3.79","1.47","3.51","366.40","147.50","16.26","-5.87"
"PEL","1,464.00","1,519.95","1,457.25","1,499.80","35.85","2.45","5.94","89.40","2,009.80","606.85","-10.39","5.79"
"BOSCHLTD","13,050.00","13,415.55","13,049.95","13,368.00","302.30","2.31","0.22","29.78","17,260.30","7,850.00","-4.35","-0.84"
"HINDZINC","240.00","240.70","237.00","239.50","4.50","1.91","8.57","20.48","240.70","116.05","14.98","21.95"
"BANDHANBNK","300.25","305.15","300.25","304.40","4.35","1.45","34.59","105.00","650.00","152.20","-36.22","-22.88"
"PFC","86.75","87.90","86.10","87.50","1.25","1.45","23.36","20.40","133.40","74.15","-17.02","2.16"
"DIVISLAB","2,748.00","2,788.60","2,737.20","2,777.00","38.95","1.42","3.78","104.58","2,788.60","1,466.00","69.96","27.12"
"MCDOWELL-N","582.60","587.60","580.45","587.50","7.85","1.35","1.80","10.50","742.70","442.65","-1.94","-1.04"
"BAJAJHLDNG","2,672.90","2,694.00","2,660.40","2,692.40","32.00","1.20","0.02","0.64","3,950.00","1,460.15","-22.83","-5.63"
"AUROPHARMA","914.00","923.00","906.00","919.90","10.15","1.12","26.13","239.33","923.00","288.85","65.84","18.51"
"MUTHOOTFIN","1,211.00","1,220.00","1,191.00","1,205.65","13.15","1.10","11.18","134.95","1,405.75","476.80","92.35","9.28"
"DABUR","507.90","512.75","506.05","512.40","5.60","1.10","5.98","30.54","525.00","386.05","18.98","7.07"
"GICRE","141.10","143.00","141.10","142.25","1.45","1.03","0.28","0.39","334.05","81.50","-27.70","-6.01"
"CADILAHC","390.30","395.30","390.00","392.65","3.80","0.98","14.51","57.02","411.50","202.00","72.52","8.51"
"AMBUJACEM","222.00","226.25","222.00","225.00","2.05","0.92","10.22","22.98","226.25","136.55","9.81","16.43"
"PGHH","10,320.00","10,425.00","10,287.95","10,380.05","89.50","0.87","0.10","10.37","12,774.90","8,400.00","-0.55","0.26"
"ACC","1,407.00","1,423.05","1,407.00","1,418.20","12.00","0.85","1.34","19.02","1,709.00","895.15","-8.92","8.00"
"PIDILITIND","1,329.80","1,358.45","1,323.10","1,343.00","11.05","0.83","7.86","105.71","1,709.90","1,185.55","4.12","-4.02"
"BIOCON","409.00","411.85","407.95","410.75","3.30","0.81","4.39","18.01","446.95","211.05","82.60","2.64"
"BERGEPAINT","529.40","536.80","526.85","532.85","4.00","0.76","3.15","16.78","597.00","346.45","52.64","4.79"
"NAUKRI","3,348.00","3,367.00","3,321.05","3,342.85","23.85","0.72","0.33","10.91","3,440.50","1,581.10","55.24","14.75"
"GODREJCP","690.90","700.00","690.65","695.45","4.60","0.67","2.14","14.87","772.00","425.10","9.55","-1.16"
"BANKBARODA","46.40","46.70","46.10","46.55","0.30","0.65","24.83","11.53","108.25","36.00","-52.31","-8.37"
"NMDC","88.10","88.80","87.80","88.25","0.55","0.63","15.63","13.81","139.70","61.55","-13.14","6.71"
"ABBOTINDIA","16,248.55","16,298.70","16,157.10","16,247.95","93.45","0.58","0.03","4.43","18,679.75","8,439.00","89.52","2.76"
"HAVELLS","606.15","612.00","603.30","609.45","3.30","0.54","2.29","13.93","765.75","447.05","-5.45","1.96"
"SBILIFE","879.90","883.85","874.15","880.10","4.70","0.54","1.71","15.06","1,030.00","519.40","11.89","1.32"
"MOTHERSUMI","99.25","101.10","99.20","100.45","0.50","0.50","15.32","15.40","151.00","48.65","3.08","1.77"
"NHPC","20.15","20.20","20.10","20.20","0.10","0.50","1.95","0.39","29.10","15.10","-9.62","-0.74"
"CONCOR","460.00","462.50","456.60","460.95","2.15","0.47","1.10","5.05","666.00","263.40","-4.64","7.20"
"UBL","960.00","967.40","955.00","962.25","4.35","0.45","0.52","4.99","1,408.40","749.50","-30.91","-8.34"
"COLPAL","1,436.70","1,444.50","1,432.05","1,443.00","6.00","0.42","0.35","5.09","1,642.60","1,065.00","20.12","3.68"
"DMART","2,170.00","2,176.40","2,150.55","2,157.90","7.35","0.34","0.38","8.29","2,560.00","1,405.25","50.45","-8.63"
"PNB","32.50","32.60","32.25","32.45","0.10","0.31","24.93","8.09","69.65","26.30","-49.34","-11.82"
"SRTRANSFIN","663.00","669.50","662.00","662.70","1.95","0.30","4.78","31.82","1,340.20","431.37","-33.59","-8.45"
"PAGEIND","19,400.00","19,499.95","19,355.00","19,374.00","15.85","0.08","0.02","4.65","26,882.60","16,254.00","5.28","-5.74"
"PETRONET","245.15","246.80","243.10","246.35","0.15","0.06","3.45","8.48","299.00","170.40","4.59","-5.70"
"OFSS","2,985.00","2,985.00","2,945.00","2,956.85","1.10","0.04","0.04","1.30","3,337.90","1,506.00","-9.29","3.05"
"SBICARD","757.50","765.00","755.50","758.55","0.00","0.00","2.41","18.34","798.45","495.00","-","-"
"DLF","143.90","143.90","141.60","142.60","-0.05","-0.04","12.66","18.07","266.55","114.55","-14.04","-6.83"
"SIEMENS","1,158.00","1,164.80","1,153.35","1,156.55","-2.90","-0.25","0.46","5.36","1,717.45","947.90","5.00","-1.38"
"ICICIPRULI","474.00","476.60","463.05","470.20","-1.40","-0.30","5.00","23.67","537.30","226.10","18.33","8.43"
"TORNTPHARM","2,974.95","2,991.25","2,927.00","2,965.80","-10.65","-0.36","2.64","78.30","3,001.50","1,555.00","74.16","27.12"
"HDFCAMC","2,380.90","2,384.00","2,352.25","2,369.90","-9.70","-0.41","0.65","15.33","3,844.00","1,962.00","11.66","-9.52"
"MARICO","369.00","370.60","366.60","367.15","-2.30","-0.62","4.37","16.11","404.00","234.00","-3.02","4.19"
"HINDPETRO","223.00","223.00","213.05","214.75","-1.35","-0.62","89.75","195.03","328.75","150.00","-12.15","1.70"
"IGL","388.20","388.20","384.00","385.40","-2.80","-0.72","9.04","34.82","534.20","284.05","24.14","-7.26"
"INDIGO","947.30","947.30","933.75","936.90","-8.35","-0.88","3.57","33.57","1,898.85","771.30","-37.50","-9.42"
"ICICIGI","1,375.00","1,379.00","1,345.20","1,362.70","-13.25","-0.96","0.37","4.97","1,440.40","805.00","16.62","6.99"
"LUPIN","906.65","918.40","877.80","884.85","-51.40","-5.49","48.61","434.48","956.00","504.75","13.17","1.65"

